,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,text_tokens,text_lemmas
89,1515149267416981510,1515145453955821568,1650074710000.0,2022-04-15 21:05:10,-0500,,"I’m probably sensitive to this because I was “that kid” who didn’t feel included at that age, and watched the pillar kids in awe of how they moved through life. I just want my kids to remember to look around outside the circle and bring others in.",en,[],[],596817347,596817347,thsuburbanmommy,"Your mom ""Pro-kid, period.""",5,21,https://twitter.com/thsuburbanmommy/status/1515149267416981510,[],[],0,,False,7,0,0,,sensitive to others,,,,,,,[],,,,,"['probably', 'kid', 'feel', 'included', 'age', 'watched', 'pillar', 'kids', 'awe', 'moved', 'life', 'want', 'kids', 'remember', 'look', 'around', 'outside', 'circle', 'bring', 'others']","['’', 'probably', '“', 'kid', '”', '’', 'feel', 'include', 'age', 'watch', 'pillar', 'kid', 'awe', 'move', 'life', 'want', 'kid', 'remember', 'look', 'around', 'outside', 'circle', 'bring', 'others']"
90,1515145899772715017,1514986213706547202,1650073907000.0,2022-04-15 20:51:47,-0500,,"@heymrsbond @shellymatic It makes me wonder if any obgyns have considered adding “no ob patient” days, like how some places have sensory sensitive times. I could totally see others wanting to come in when there would not be any visible triggers",en,[],[],839507168764248064,839507168764248064,marielynn502,Marie (she/her),5,20,https://twitter.com/marielynn502/status/1515145899772715017,[],[],0,,False,5,1,0,,sensitive to others,,,,,,,"[{'screen_name': 'heymrsbond', 'name': 'Chanea (sha-nay) or The Madwoman in the Classroom', 'id': '924986499485126656'}, {'screen_name': 'shellymatic', 'name': 'michelle', 'id': '849086626617856000'}]",,,,,"['heymrsbond', 'shellymatic', 'makes', 'wonder', 'obgyns', 'considered', 'adding', 'patient', 'days', 'like', 'places', 'sensory', 'times', 'could', 'totally', 'see', 'others', 'wanting', 'come', 'would', 'visible', 'triggers']","['heymrsbond', 'shellymatic', 'make', 'wonder', 'obgyns', 'consider', 'add', '“', 'ob', 'patient', '”', 'day', 'like', 'place', 'sensory', 'time', 'could', 'totally', 'see', 'others', 'want', 'come', 'would', 'visible', 'trigger']"
91,1515143748988157955,1515143748988157955,1650073394000.0,2022-04-15 20:43:14,-0500,,"Me to wife (a teacher): ""What's this Social Emotional Learning they also complain about?"" Her: ""It's basically teaching to be nice and sensitive to others."" Me: ""Well, it makes sense if you think of how they use math to oppress people.""",en,[],[],807651644628500480,807651644628500480,profevanbennett,Evan Bennett,5,20,https://twitter.com/profevanbennett/status/1515143748988157955,[],[],0,,False,3,0,1,https://twitter.com/MiamiHerald/status/1515136074678423556,sensitive to others,,,,,,,[],,,,,"['wife', 'teacher', 'whats', 'social', 'emotional', 'learning', 'also', 'complain', 'basically', 'teaching', 'nice', 'others', 'well', 'makes', 'sense', 'think', 'use', 'math', 'oppress', 'people']","['wife', 'teacher', '``', ""'s"", 'social', 'emotional', 'learn', 'also', 'complain', ""''"", '``', ""'s"", 'basically', 'teach', 'nice', 'others', ""''"", '``', 'well', 'make', 'sense', 'think', 'use', 'math', 'oppress', 'people', ""''""]"
92,1515142381091553281,1515042652558966789,1650073068000.0,2022-04-15 20:37:48,-0500,,"@Aydin31406 @notebook_gurl @dreamwastaken couldn’t agree more. and the fact that “it was dreams fault, he can’t control them🥺”. like bro dream don’t be so sensitive and push down others to make your lazy ass look good 🤡",en,[],[],1385557444567334912,1385557444567334912,dreamSmPlOver__,troll account 🤡,5,20,https://twitter.com/dreamSmPlOver__/status/1515142381091553281,[],[],0,,False,2,0,0,,sensitive to others,,,,,,,"[{'screen_name': 'Aydin31406', 'name': 'Aydin', 'id': '1240092693528629248'}, {'screen_name': 'notebook_gurl', 'name': 'Notebookgirl', 'id': '1488524534235947012'}, {'screen_name': 'dreamwastaken', 'name': 'dream', 'id': '1269132220725411842'}]",,,,,"['aydin31406', 'notebookgurl', 'dreamwastaken', 'agree', 'fact', 'dreams', 'fault', 'control', 'them🥺', 'like', 'bro', 'dream', 'push', 'others', 'make', 'lazy', 'ass', 'look', 'good']","['aydin31406', 'notebook_gurl', 'dreamwastaken', '’', 'agree', 'fact', '“', 'dream', 'fault', '’', 'control', 'them🥺', '”', 'like', 'bro', 'dream', '’', 'push', 'others', 'make', 'lazy', 'as', 'look', 'good', '🤡']"
93,1515140812392255499,1515076213831876614,1650072694000.0,2022-04-15 20:31:34,-0500,,"@GummiPies less tolerance for negative energy, unamused by humor, mutism, need to hyperfocus on comfort activities and objects, sensitive to others presence, unable to make eye contact at all, extremely irritable. sometimes guilty of really wanting to hurt myself or others :(",en,[],[],1186487204014637057,1186487204014637057,n_rthstar,Puhskinti Participant 𓂉,5,20,https://twitter.com/n_rthstar/status/1515140812392255499,[],[],0,,False,6,1,1,,sensitive to others,,,,,,,"[{'screen_name': 'GummiPies', 'name': 'please be kind 🍯🌈', 'id': '1391742263097708544'}]",,,,,"['gummipies', 'less', 'tolerance', 'negative', 'energy', 'unamused', 'humor', 'mutism', 'need', 'hyperfocus', 'comfort', 'activities', 'objects', 'others', 'presence', 'unable', 'make', 'eye', 'contact', 'extremely', 'irritable', 'sometimes', 'guilty', 'really', 'wanting', 'hurt', 'others']","['gummipies', 'less', 'tolerance', 'negative', 'energy', 'unamused', 'humor', 'mutism', 'need', 'hyperfocus', 'comfort', 'activity', 'object', 'others', 'presence', 'unable', 'make', 'eye', 'contact', 'extremely', 'irritable', 'sometimes', 'guilty', 'really', 'want', 'hurt', 'others']"
94,1515134088541261832,1515134088541261832,1650071091000.0,2022-04-15 20:04:51,-0500,,I will not allow others to decide I’m “too sensitive” fuck y’all🙂,en,[],[],138724894,138724894,Jo2timess,Fat Mama Jo😌,5,20,https://twitter.com/Jo2timess/status/1515134088541261832,[],[],0,,False,4,0,0,,sensitive to others,,,,,,,[],,,,,"['allow', 'others', 'decide', 'fuck', 'all🙂']","['allow', 'others', 'decide', '’', '“', '”', 'fuck', '’', 'all🙂']"
95,1515133252368953345,1515133252368953345,1650070891000.0,2022-04-15 20:01:31,-0500,,"Today,Find out what he or she needs, or new opportunities may lure your partner away. But, it could mean Using experience as a means of manipulating or misguiding others. your word is: sensitive. Dont forget to look for a Rahiolisaurus (•　ω　•)",en,[],[],1503977798481821698,1503977798481821698,FORTUNE_BOT_,...,5,20,https://twitter.com/FORTUNE_BOT_/status/1515133252368953345,[],[],0,,False,0,0,0,,sensitive to others,,,,,,,[],,,,,"['todayfind', 'needs', 'new', 'opportunities', 'may', 'lure', 'partner', 'away', 'could', 'mean', 'using', 'experience', 'means', 'manipulating', 'misguiding', 'others', 'word', 'dont', 'forget', 'look', 'rahiolisaurus']","['today', 'find', 'need', 'new', 'opportunity', 'may', 'lure', 'partner', 'away', 'could', 'mean', 'use', 'experience', 'mean', 'manipulate', 'misguide', 'others', 'word', 'dont', 'forget', 'look', 'rahiolisaurus', '•', 'ω', '•']"
96,1515124781682671620,1514942513282433026,1650068872000.0,2022-04-15 19:27:52,-0500,,"@SyedAsifNaqvi16 @HRCP87 @HamidMirPAK @asmashirazi May Allah have mercy on him. This is heartbreaking. Only Allah knows the turmoil he was going through. Please, look around people and try to motivate and encourage others to not lose heart and so not die. Be sensitive and kind towards others. It may help them deal with the issue.",en,[],[],754830652202160128,754830652202160128,urubanasir,uruba,5,19,https://twitter.com/urubanasir/status/1515124781682671620,[],[],0,,False,0,0,0,,sensitive to others,,,,,,,"[{'screen_name': 'SyedAsifNaqvi16', 'name': 'Syed Asif Naqvi', 'id': '1173572573260636160'}, {'screen_name': 'HRCP87', 'name': 'Human Rights Commission of Pakistan', 'id': '94504603'}, {'screen_name': 'HamidMirPAK', 'name': 'Hamid Mir', 'id': '213539531'}, {'screen_name': 'asmashirazi', 'name': 'Asma Shirazi', 'id': '256556724'}]",,,,,"['syedasifnaqvi16', 'hrcp87', 'hamidmirpak', 'asmashirazi', 'may', 'allah', 'mercy', 'heartbreaking', 'allah', 'knows', 'turmoil', 'going', 'please', 'look', 'around', 'people', 'try', 'motivate', 'encourage', 'others', 'lose', 'heart', 'die', 'kind', 'towards', 'others', 'may', 'help', 'deal', 'issue']","['syedasifnaqvi16', 'hrcp87', 'hamidmirpak', 'asmashirazi', 'may', 'allah', 'mercy', 'heartbreaking', 'allah', 'know', 'turmoil', 'go', 'please', 'look', 'around', 'people', 'try', 'motivate', 'encourage', 'others', 'lose', 'heart', 'die', 'kind', 'towards', 'others', 'may', 'help', 'deal', 'issue']"
97,1515108462157512708,1515023712696864768,1650064981000.0,2022-04-15 18:23:01,-0500,,"@julie_trans @UnicornsRockUK Don't be abusive, ""it"", ""it"" it does us all no favours. I'm sure @PlaceSteph would agree. Be sensitive to us all at the moment, it's being a stressful time for many. Positive is great, but don't demean others having a shit time of it.",en,[],[],1322350357381525504,1322350357381525504,HimiHuskyme,"Himi, Husky & Me 🇺🇦 🌻🏍🐺👩‍🚀💚🏳️‍⚧️🏳️‍🌈",5,18,https://twitter.com/HimiHuskyme/status/1515108462157512708,[],[],0,,False,0,0,0,,sensitive to others,,,,,,,"[{'screen_name': 'julie_trans', 'name': 'julie miller', 'id': '2151155983'}, {'screen_name': 'UnicornsRockUK', 'name': 'UnicornsRock 🏳️\u200d🌈🏳️\u200d⚧️', 'id': '1302622813224865793'}]",,,,,"['julietrans', 'unicornsrockuk', 'dont', 'abusive', 'favours', 'sure', 'placesteph', 'would', 'agree', 'moment', 'stressful', 'time', 'many', 'positive', 'great', 'dont', 'demean', 'others', 'shit', 'time']","['julie_trans', 'unicornsrockuk', ""n't"", 'abusive', '``', ""''"", '``', ""''"", 'u', 'favour', ""'m"", 'sure', 'placesteph', 'would', 'agree', 'u', 'moment', ""'s"", 'stressful', 'time', 'many', 'positive', 'great', ""n't"", 'demean', 'others', 'shit', 'time']"
98,1515107701696737282,1515035657202192391,1650064800000.0,2022-04-15 18:20:00,-0500,,"@Dustin_Cone @Rylo63804905 @JaysRealityBlog Yes, I can understand that. I thought that was genuine, not shady, but also a sensitive issue, that would've been better left unsaid (at least in that context).    Rinna has been awful to some, demands that others ""own it"", but expects sympathy, it's tough.",en,[],[],1151287429850161152,1151287429850161152,mitzi69663610,mitzi,5,18,https://twitter.com/mitzi69663610/status/1515107701696737282,[],[],0,,False,0,1,0,,sensitive to others,,,,,,,"[{'screen_name': 'Dustin_Cone', 'name': 'Dustin Cone', 'id': '922925581062279169'}, {'screen_name': 'Rylo63804905', 'name': 'Rylo', 'id': '1428148937681035269'}, {'screen_name': 'JaysRealityBlog', 'name': 'jay', 'id': '2866630695'}]",,,,,"['dustincone', 'rylo63804905', 'jaysrealityblog', 'yes', 'understand', 'thought', 'genuine', 'shady', 'also', 'issue', 'wouldve', 'better', 'left', 'unsaid', 'least', 'context', 'rinna', 'awful', 'demands', 'others', 'expects', 'sympathy', 'tough']","['dustin_cone', 'rylo63804905', 'jaysrealityblog', 'yes', 'understand', 'thought', 'genuine', 'shady', 'also', 'issue', 'would', ""'ve"", 'well', 'left', 'unsaid', 'least', 'context', 'rinna', 'awful', 'demand', 'others', '``', ""''"", 'expect', 'sympathy', ""'s"", 'tough']"
